,Seed,Team,Wins
0,1,Auburn,2.0
64,2,Duke,1.0
96,3,Houston,2.0
32,4,Florida,0.0
124,5,Tennessee,1.0
92,6,Alabama,2.0
28,7,Michigan St,1.0
60,8,Saint John's,1.0
52,9,Texas Tech,1.0
20,10,Iowa St,3.0
116,11,Kentucky,2.0
84,12,Wisconsin,0.0
12,13,Texas A&M,0.0
108,14,Purdue,0.0
44,15,Maryland,0.0
76,16,Arizona,0.0
8,17,Michigan,0.0
104,18,Clemson,0.0
72,19,Oregon,1.0
40,20,Memphis,4.0
80,21,BYU,2.0
112,22,Illinois,0.0
48,23,Missouri,1.0
16,24,Mississippi,5.0
120,25,UCLA,0.0
24,26,Marquette,0.0
88,27,Saint Mary's,0.0
56,28,Kansas,0.0
4,29,Louisville,0.0
100,30,Gonzaga,0.0
36,31,UConn,0.0
68,32,Mississippi St,0.0
6,33,Creighton,0.0
102,34,Georgia,0.0
70,35,Baylor,0.0
38,36,Oklahoma,0.0
58,37,Arkansas,2.0
26,38,New Mexico,2.0
90,39,Vanderbilt,0.0
122,40,Utah St,0.0
115,41,Texas,0.0
114,42,Xavier,0.0
18,43,San Diego St,0.0
50,44,Drake,0.0
82,45,VCU,0.0
19,46,North Carolina,0.0
10,47,UC San Diego,0.0
42,48,Colorado St,1.0
106,49,McNeese,0.0
74,50,Liberty,3.0
14,51,Yale,0.0
110,52,High Point,0.0
78,53,Akron,2.0
46,54,Grand Canyon,6.0
22,55,Lipscomb,0.0
118,56,Troy,1.0
54,57,UNC Wilmington,0.0
86,58,Montana,7.0
94,59,Robert Morris,0.0
126,60,Wofford,0.0
62,61,Omaha,2.0
30,62,Bryant,4.0
34,63,Norfolk St,2.0
98,64,SIUE,3.0
67,65,American,0.0
66,66,Mount Saint Mary's,3.0
2,67,Alabama St,0.0
3,68,Saint Francis,1.0
